	6138
ক	1144
গ	1100
ঘ	1100
খ	1088
করে	350
না	257
হাতে	240
ও	212
করতে	175
হবে	128
উইকেট	114
থেকে	110
উত্তর	94
দিয়ে	89
রান	84
পারে	82
করা	80
বলে	75
ব	74
যে	73
এক	68
নিয়ে	66
জন্য	62
আর	61
ওপর	59
আমি	57
করার	56
তাঁর	55
এই	54
রেখে	52
কী	52
সঙ্গে	52
নিয়ে	51
করেন	51
হয়ে	51
ছিল	51
হয়	50
করেছেন	50
বা	50
বাকি	50
খেলে	48
আমার	48
কলম	47
তিনি	44
একটা	43
নয়	42
যায়	42
তুলে	41
সেটা	41
দুই	40
দিয়ে	39
একটি	39
প্রয়োগ	39
কিন্তু	38
করেছে	38
তো	36
বাইরে	36
একটু	35
হয়ে	35
রানে	34
রানের	34
তার	34
ব্যাটে	34
তা	33
পয়েন্ট	33
গেল	33
যায়	32
চার	32
এ	32
দারুণ	32
বেশি	31
কোনো	31
ক্রিকেট	31
সেই	30
সালে	30
হয়	30
করছে	29
করলে	29
দেখা	28
চেষ্টা	28
খেলতে	28
হতে	27
সে	27
হলে	27
মাধ্যমে	27
বাংলাদেশ	26
প্রয়োগ	26
দিতে	26
ওভারে	26
ব্যাট	26
প্রয়োগের	26
সঠিক	26
পর	26
দিকে	26
খেলার	26
ওভার	26
কথা	25
প্রথম	25
গেছে	25
কত	25
শুরু	25
এমন	25
ভরাট	25
অপরাজিত	24
হাত	24
নেই	24
উইকেটে	24
হাতেও	24
থাকতে	24
এবং	24
মাত্র	24
ভালো	24
আমরা	23
কাছে	23
খুব	23
আমাদের	23
তখন	23
সব	23
টি	22
নয়	22
বলের	22
পেয়ে	22
থাকে	22
খেলা	22
তাদের	22
দল	22
শেষ	22
করবে	22
কেন	22
নিচের	22
ব্যাটসম্যানদের	22
ছাপা	22
দেন	22
ব্যাটসম্যান	21
কি	21
কিছু	21
হয়েছে	21
আগামীকাল	20
দলের	20
তারা	20
বাংলাদেশের	20
থাকতেই	20
যা	20
জয়	20
প্রয়োগ	20
হয়েছে	20
মনে	20
কোনটি	20
তৈরি	20
মতো	20
গিয়ে	20
চলে	20
তাকে	19
অনেক	19
সময়	19
মধ্যে	19
করো	19
দাও	18
পয়েন্ট	18
রাখতে	18
সময়	18
তো	18
শক্তি	18
আগে	18
নেওয়ার	18
যাবে	18
হচ্ছে	18
হকি	18
যখন	18
সাকিব	18
যাচ্ছে	18
পাকিস্তান	18
করলেন	18
দিলেন	18
ছিলেন	18
এর	17
গুণ	17
সৃষ্টি	17
গোল	17
তাঁকে	17
ভেবে	17
দেয়	16
ইনিংস	16
মাঠে	16
এখন	16
বেশ	16
ডি	16
খেলায়	16
সেরা	16
কোর্টে	16
করি	16
পারেননি	16
জয়ের	16
থাকা	16
সুইং	16
যেন	16
আছে	16
ব্যবহার	16
যান	16
আউট	16
জালে	16
ক্ষমতা	16
বড়	16
রেখেই	16
নিউজিল্যান্ড	16
ফেলতে	16
আগেই	16
বোলার	15
দিন	15
কাজে	15
ঠিক	15
আসে	15
ওই	15
বাড়তি	15
জন	14
